Distance_to_Zone_km,Recent_Elephant_Count,Time_of_Day,Weather,Risk_Level
10.05,12,Night,Clear,LOW
2.78,23,Night,Clear,CRITICAL
2.54,3,Afternoon,Heavy Rain,HIGH
5.78,3,Afternoon,Clear,MEDIUM
8.02,15,Dusk,Heavy Rain,LOW
2.57,0,Dusk,Light Rain,HIGH
2.82,8,Afternoon,Light Rain,MEDIUM
6.26,15,Night,Heavy Rain,MEDIUM
8.06,4,Afternoon,Clear,LOW
14.13,11,Afternoon,Light Rain,LOW
3.87,13,Night,Light Rain,CRITICAL
1.27,24,Afternoon,Heavy Rain,CRITICAL
3.63,8,Morning,Clear,MEDIUM
10.48,13,Morning,Clear,LOW
2.36,8,Afternoon,Heavy Rain,HIGH
3.19,25,Dusk,Clear,CRITICAL
3.99,18,Afternoon,Clear,CRITICAL
9.45,17,Morning,Clear,LOW
6.43,14,Afternoon,Clear,MEDIUM
11.98,21,Dusk,Heavy Rain,LOW
8.19,21,Dusk,Light Rain,LOW
10.75,9,Afternoon,Heavy Rain,LOW
4.19,24,Night,Heavy Rain,HIGH
1.93,2,Afternoon,Clear,MEDIUM
5.17,25,Afternoon,Heavy Rain,MEDIUM
4.53,15,Dusk,Heavy Rain,HIGH
10.3,24,Afternoon,Clear,LOW
13.43,15,Dusk,Heavy Rain,LOW
11.78,22,Afternoon,Light Rain,LOW
13.78,20,Night,Heavy Rain,LOW
3.72,19,Night,Clear,CRITICAL
4.12,2,Night,Clear,HIGH
2.06,25,Morning,Clear,CRITICAL
14.6,16,Dusk,Clear,LOW
9.85,7,Dusk,Light Rain,LOW
13.77,3,Morning,Clear,LOW
5.3,7,Night,Light Rain,MEDIUM
1.89,5,Dusk,Heavy Rain,HIGH
3.91,16,Afternoon,Heavy Rain,CRITICAL
9.85,21,Afternoon,Clear,LOW
0.73,0,Morning,Clear,LOW
11.99,22,Night,Light Rain,LOW
3.34,11,Night,Heavy Rain,CRITICAL
12.13,3,Morning,Clear,LOW
14.19,6,Dusk,Light Rain,LOW
11.13,3,Afternoon,Clear,LOW
0.36,13,Morning,Clear,CRITICAL
2.02,3,Morning,Heavy Rain,HIGH
3.89,0,Morning,Light Rain,LOW
9.6,22,Dusk,Clear,LOW
7.14,19,Morning,Heavy Rain,MEDIUM
2.52,11,Morning,Clear,CRITICAL
12.05,2,Morning,Light Rain,LOW
11.74,3,Night,Heavy Rain,LOW
11.32,14,Morning,Clear,LOW
3.8,25,Night,Clear,CRITICAL
10.6,11,Dusk,Heavy Rain,LOW
8.18,19,Morning,Light Rain,LOW
1.3,19,Night,Light Rain,CRITICAL
14.1,21,Dusk,Clear,LOW
4.01,21,Afternoon,Clear,MEDIUM
10.48,17,Night,Heavy Rain,LOW
12.04,12,Night,Light Rain,LOW
7.83,17,Afternoon,Clear,MEDIUM
2.29,1,Night,Clear,HIGH
8.22,0,Dusk,Light Rain,MEDIUM
7.6,25,Afternoon,Heavy Rain,MEDIUM
5.96,25,Afternoon,Light Rain,MEDIUM
14.82,7,Dusk,Clear,LOW
5.1,24,Dusk,Heavy Rain,MEDIUM
4.83,6,Dusk,Clear,HIGH
3.5,6,Morning,Clear,MEDIUM
11.02,24,Dusk,Heavy Rain,LOW
2.85,0,Morning,Heavy Rain,LOW
12.49,21,Night,Heavy Rain,LOW
14.16,13,Night,Clear,LOW
3.33,19,Morning,Light Rain,CRITICAL
2.68,11,Night,Light Rain,CRITICAL
8.64,19,Dusk,Light Rain,LOW
8.27,6,Night,Light Rain,LOW
4.19,11,Dusk,Light Rain,HIGH
12.98,12,Dusk,Light Rain,LOW
10.7,24,Afternoon,Heavy Rain,LOW
1.85,22,Night,Heavy Rain,CRITICAL
10.62,19,Morning,Clear,LOW
1.73,25,Night,Clear,CRITICAL
11.98,24,Morning,Clear,LOW
8.34,4,Afternoon,Clear,LOW
11.74,13,Dusk,Heavy Rain,LOW
0.61,16,Morning,Light Rain,CRITICAL
0.42,15,Afternoon,Clear,CRITICAL
4.31,15,Afternoon,Light Rain,MEDIUM
5.82,19,Afternoon,Clear,MEDIUM
8.61,9,Dusk,Heavy Rain,LOW
3.23,8,Dusk,Clear,HIGH
3.96,0,Morning,Light Rain,LOW
11.86,19,Morning,Heavy Rain,LOW
13.41,8,Afternoon,Heavy Rain,LOW
12.47,19,Afternoon,Clear,LOW
8.05,9,Dusk,Light Rain,LOW
13.07,22,Morning,Clear,LOW
12.3,1,Dusk,Light Rain,CRITICAL
6.67,12,Morning,Clear,MEDIUM
12.47,14,Morning,Clear,LOW
6.59,14,Dusk,Light Rain,MEDIUM
11.88,20,Morning,Clear,LOW
11.18,21,Night,Heavy Rain,LOW
5.13,5,Night,Light Rain,MEDIUM
10.12,11,Night,Heavy Rain,LOW
8.35,15,Afternoon,Heavy Rain,LOW
10.02,0,Afternoon,Clear,LOW
7.69,0,Afternoon,Clear,LOW
12.96,20,Afternoon,Clear,LOW
10.79,24,Afternoon,Light Rain,LOW
7.46,6,Night,Heavy Rain,MEDIUM
10.5,17,Afternoon,Clear,MEDIUM
0.29,5,Dusk,Heavy Rain,HIGH
1.83,14,Morning,Light Rain,CRITICAL
13.66,20,Morning,Heavy Rain,LOW
11.84,23,Night,Light Rain,LOW
3.24,19,Morning,Clear,CRITICAL
3.5,10,Morning,Light Rain,MEDIUM
14.68,25,Night,Clear,LOW
7.41,22,Night,Light Rain,MEDIUM
4.24,7,Dusk,Heavy Rain,HIGH
14.3,21,Dusk,Light Rain,LOW
8.65,13,Afternoon,Heavy Rain,LOW
4.38,20,Night,Heavy Rain,HIGH
13.32,1,Afternoon,Light Rain,LOW
11.77,16,Morning,Heavy Rain,LOW
7.06,10,Afternoon,Clear,MEDIUM
0.49,13,Morning,Clear,CRITICAL
11.81,20,Morning,Heavy Rain,LOW
3.55,19,Night,Light Rain,CRITICAL
0.49,1,Morning,Clear,MEDIUM
3.49,15,Night,Light Rain,CRITICAL
7.74,6,Night,Clear,MEDIUM
8.69,2,Morning,Light Rain,LOW
0.23,22,Morning,Light Rain,CRITICAL
10.25,21,Afternoon,Heavy Rain,LOW
3.58,2,Dusk,Light Rain,HIGH
6.52,8,Night,Light Rain,MEDIUM
9.81,18,Morning,Heavy Rain,LOW
10.07,18,Night,Heavy Rain,LOW
7.4,25,Morning,Heavy Rain,MEDIUM
2.1,17,Dusk,Heavy Rain,CRITICAL
0.41,18,Dusk,Heavy Rain,CRITICAL
11.34,9,Night,Light Rain,LOW
9.73,1,Night,Heavy Rain,LOW
10.17,12,Dusk,Light Rain,LOW
1.1,18,Afternoon,Light Rain,CRITICAL
13.68,16,Morning,Light Rain,LOW
1.87,11,Afternoon,Heavy Rain,CRITICAL
5.81,15,Afternoon,Heavy Rain,MEDIUM
6.87,18,Night,Clear,MEDIUM
0.56,22,Dusk,Clear,CRITICAL
8.56,25,Afternoon,Light Rain,LOW
14.12,19,Afternoon,Clear,LOW
12.21,17,Night,Light Rain,CRITICAL
4.19,12,Afternoon,Heavy Rain,MEDIUM
5.81,11,Morning,Light Rain,MEDIUM
6.53,10,Dusk,Heavy Rain,MEDIUM
11.21,15,Night,Heavy Rain,LOW
6.01,14,Afternoon,Heavy Rain,MEDIUM
12.11,21,Dusk,Light Rain,LOW
4.67,18,Afternoon,Clear,MEDIUM
0.88,12,Night,Clear,CRITICAL
4.79,7,Night,Light Rain,HIGH
0.73,11,Morning,Heavy Rain,CRITICAL
3.3,4,Night,Clear,CRITICAL
1.2,22,Morning,Light Rain,CRITICAL
12.68,9,Dusk,Light Rain,LOW
2.65,14,Morning,Light Rain,CRITICAL
11.78,8,Afternoon,Light Rain,LOW
14.89,20,Afternoon,Clear,LOW
1.64,21,Morning,Clear,CRITICAL
0.99,15,Afternoon,Light Rain,CRITICAL
11.56,6,Afternoon,Clear,LOW
2.36,19,Afternoon,Clear,CRITICAL
5.61,10,Morning,Clear,MEDIUM
14.49,14,Dusk,Light Rain,LOW
12.35,1,Afternoon,Clear,LOW
14.03,18,Afternoon,Light Rain,LOW
14.44,17,Afternoon,Light Rain,LOW
11.31,7,Dusk,Light Rain,LOW
9.68,23,Afternoon,Heavy Rain,LOW
6.62,15,Morning,Light Rain,MEDIUM
8.92,23,Night,Heavy Rain,LOW
3.6,18,Night,Clear,CRITICAL
12.13,19,Morning,Heavy Rain,LOW
8.12,9,Morning,Heavy Rain,LOW
5.39,16,Afternoon,Light Rain,MEDIUM
13.35,19,Dusk,Heavy Rain,LOW
1.42,16,Dusk,Heavy Rain,CRITICAL
9.89,11,Afternoon,Clear,LOW
8.49,16,Night,Heavy Rain,LOW
3.37,5,Night,Clear,MEDIUM
9.08,8,Dusk,Light Rain,LOW
6.46,0,Night,Clear,LOW
3.26,21,Morning,Clear,CRITICAL
9.03,19,Afternoon,Clear,LOW
5.04,1,Dusk,Light Rain,MEDIUM
4.14,0,Afternoon,Light Rain,LOW
13.42,18,Morning,Light Rain,LOW
4.31,1,Afternoon,Light Rain,MEDIUM
9.13,18,Night,Clear,LOW
3.44,12,Night,Light Rain,CRITICAL
9.45,9,Dusk,Light Rain,LOW
9.91,17,Dusk,Heavy Rain,LOW
9.74,10,Afternoon,Light Rain,LOW
6.21,8,Morning,Heavy Rain,MEDIUM
10.13,20,Morning,Clear,LOW
6.06,4,Dusk,Heavy Rain,MEDIUM
1.73,1,Dusk,Clear,HIGH
3.72,8,Afternoon,Light Rain,MEDIUM
10.56,7,Night,Clear,LOW
13.27,17,Dusk,Heavy Rain,LOW
8.03,19,Afternoon,Light Rain,LOW
12.79,24,Morning,Clear,LOW
11.28,21,Night,Heavy Rain,LOW
12.93,23,Morning,Heavy Rain,LOW
4.19,10,Night,Light Rain,HIGH
0.47,19,Afternoon,Light Rain,CRITICAL
11.01,3,Afternoon,Heavy Rain,LOW
4.1,11,Dusk,Clear,HIGH
3.13,25,Dusk,Clear,CRITICAL
13.21,20,Afternoon,Light Rain,LOW
2.27,14,Dusk,Clear,CRITICAL
9.94,4,Dusk,Light Rain,LOW
0.49,1,Afternoon,Heavy Rain,MEDIUM
11.28,22,Morning,Light Rain,LOW
9.55,23,Morning,Light Rain,LOW
8.69,8,Morning,Heavy Rain,LOW
6.56,19,Afternoon,Heavy Rain,MEDIUM
8.65,8,Night,Heavy Rain,LOW
3.55,4,Night,Heavy Rain,HIGH
11.65,12,Morning,Light Rain,LOW
5.56,7,Dusk,Heavy Rain,MEDIUM
10.89,4,Dusk,Clear,LOW
12.12,18,Dusk,Light Rain,LOW
1.56,18,Morning,Heavy Rain,CRITICAL
11.25,7,Morning,Light Rain,LOW
7.41,12,Morning,Clear,MEDIUM
13.02,11,Night,Clear,LOW
13.03,22,Morning,Heavy Rain,LOW
14.15,12,Afternoon,Clear,LOW
2.76,25,Afternoon,Clear,CRITICAL
14.8,20,Afternoon,Clear,LOW
1.4,14,Dusk,Heavy Rain,CRITICAL
8.17,22,Dusk,Heavy Rain,LOW
9.25,16,Dusk,Heavy Rain,LOW
14.76,2,Night,Clear,LOW
7.65,21,Morning,Light Rain,MEDIUM
5.47,2,Afternoon,Light Rain,MEDIUM
4.74,2,Morning,Clear,MEDIUM
2.92,23,Dusk,Clear,CRITICAL
11.23,17,Afternoon,Light Rain,LOW
3.92,15,Dusk,Heavy Rain,CRITICAL
8.8,25,Dusk,Heavy Rain,LOW
3.44,23,Dusk,Heavy Rain,CRITICAL
4.66,11,Night,Light Rain,HIGH
6.74,15,Night,Light Rain,LOW
10.99,4,Afternoon,Heavy Rain,LOW
3.37,12,Night,Heavy Rain,CRITICAL
12.07,12,Night,Clear,LOW
1.93,4,Dusk,Heavy Rain,HIGH
11.25,1,Night,Clear,LOW
0.6,20,Morning,Light Rain,CRITICAL
13.74,20,Night,Clear,LOW
14.32,19,Dusk,Light Rain,LOW
12.15,10,Night,Clear,LOW
14.86,25,Dusk,Clear,LOW
12.72,21,Afternoon,Heavy Rain,LOW
14.0,21,Morning,Light Rain,LOW
1.72,9,Night,Heavy Rain,LOW
6.24,13,Morning,Heavy Rain,MEDIUM
14.7,12,Morning,Light Rain,LOW
3.16,11,Night,Clear,CRITICAL
7.98,14,Morning,Light Rain,MEDIUM
11.37,22,Dusk,Heavy Rain,LOW
13.02,5,Afternoon,Light Rain,LOW
13.64,9,Dusk,Light Rain,LOW
10.23,15,Night,Heavy Rain,LOW
8.33,1,Night,Heavy Rain,LOW
0.51,7,Morning,Heavy Rain,HIGH
0.93,5,Night,Heavy Rain,HIGH
6.42,12,Dusk,Heavy Rain,MEDIUM
2.55,3,Night,Clear,HIGH
5.28,12,Night,Clear,MEDIUM
0.54,18,Dusk,Heavy Rain,CRITICAL
11.17,21,Night,Clear,LOW
9.68,9,Dusk,Light Rain,LOW
10.53,9,Night,Heavy Rain,LOW
10.25,15,Dusk,Heavy Rain,MEDIUM
14.48,1,Dusk,Light Rain,LOW
3.19,7,Dusk,Heavy Rain,HIGH
4.48,2,Dusk,Light Rain,HIGH
4.62,13,Morning,Light Rain,MEDIUM
2.23,7,Afternoon,Light Rain,MEDIUM
10.55,0,Morning,Clear,LOW
3.87,25,Night,Light Rain,CRITICAL
9.68,24,Morning,Heavy Rain,LOW
9.97,9,Afternoon,Light Rain,HIGH
1.34,13,Dusk,Clear,CRITICAL
12.86,12,Morning,Heavy Rain,LOW
11.73,5,Afternoon,Heavy Rain,LOW
13.34,0,Afternoon,Clear,LOW
2.71,3,Dusk,Heavy Rain,HIGH
4.85,13,Morning,Clear,MEDIUM
5.34,10,Night,Clear,MEDIUM
3.24,5,Night,Clear,HIGH
11.07,10,Morning,Clear,LOW
0.47,11,Dusk,Heavy Rain,CRITICAL
8.77,20,Morning,Heavy Rain,LOW
8.1,14,Dusk,Clear,LOW
8.19,6,Dusk,Light Rain,MEDIUM
5.21,18,Night,Heavy Rain,MEDIUM
4.93,4,Morning,Clear,MEDIUM
6.0,19,Night,Heavy Rain,MEDIUM
5.25,1,Night,Light Rain,MEDIUM
14.07,6,Morning,Light Rain,LOW
9.09,8,Dusk,Clear,LOW
12.86,1,Afternoon,Light Rain,LOW
7.0,21,Night,Heavy Rain,MEDIUM
11.42,18,Dusk,Heavy Rain,LOW
4.34,25,Afternoon,Clear,MEDIUM
12.52,25,Afternoon,Light Rain,LOW
8.31,5,Dusk,Clear,LOW
0.72,14,Night,Clear,CRITICAL
0.24,5,Dusk,Light Rain,HIGH
7.17,22,Night,Clear,MEDIUM
6.49,7,Afternoon,Heavy Rain,MEDIUM
2.53,16,Dusk,Clear,CRITICAL
0.98,19,Dusk,Heavy Rain,CRITICAL
9.89,0,Morning,Heavy Rain,LOW
12.78,15,Afternoon,Heavy Rain,LOW
10.78,25,Afternoon,Heavy Rain,LOW
13.79,22,Night,Heavy Rain,LOW
12.32,23,Afternoon,Clear,LOW
2.71,25,Dusk,Light Rain,CRITICAL
3.46,22,Dusk,Light Rain,CRITICAL
13.88,19,Dusk,Clear,LOW
4.39,15,Afternoon,Clear,MEDIUM
13.59,3,Dusk,Heavy Rain,LOW
2.58,16,Morning,Clear,CRITICAL
12.8,1,Night,Light Rain,LOW
7.24,24,Morning,Clear,MEDIUM
6.56,21,Afternoon,Heavy Rain,MEDIUM
3.0,25,Morning,Light Rain,CRITICAL
9.56,21,Morning,Light Rain,LOW
9.93,7,Dusk,Heavy Rain,LOW
10.0,8,Night,Heavy Rain,LOW
1.65,10,Dusk,Heavy Rain,CRITICAL
9.77,19,Night,Light Rain,LOW
11.34,25,Night,Clear,LOW
2.22,17,Afternoon,Light Rain,CRITICAL
0.55,22,Dusk,Heavy Rain,CRITICAL
11.18,17,Night,Clear,LOW
13.44,16,Dusk,Heavy Rain,LOW
1.36,10,Afternoon,Light Rain,HIGH
12.24,2,Dusk,Clear,LOW
14.33,19,Afternoon,Light Rain,LOW
2.36,9,Morning,Light Rain,LOW
2.55,18,Morning,Clear,CRITICAL
2.46,4,Afternoon,Clear,HIGH
2.62,13,Night,Clear,CRITICAL
0.95,10,Morning,Clear,HIGH
8.27,17,Dusk,Clear,LOW
0.43,4,Morning,Clear,HIGH
10.34,10,Afternoon,Light Rain,LOW
11.87,14,Night,Light Rain,LOW
6.88,21,Dusk,Light Rain,MEDIUM
13.31,2,Night,Heavy Rain,LOW
10.75,18,Night,Clear,CRITICAL
0.67,15,Afternoon,Light Rain,CRITICAL
0.69,1,Afternoon,Light Rain,CRITICAL
0.51,7,Morning,Clear,HIGH
11.73,15,Afternoon,Heavy Rain,LOW
7.95,0,Dusk,Heavy Rain,LOW
4.86,11,Afternoon,Clear,MEDIUM
3.96,9,Dusk,Clear,HIGH
6.5,7,Dusk,Heavy Rain,MEDIUM
6.19,13,Afternoon,Clear,MEDIUM
14.24,25,Afternoon,Clear,LOW
0.13,22,Morning,Clear,CRITICAL
9.72,19,Afternoon,Heavy Rain,LOW
1.85,4,Afternoon,Clear,HIGH
11.3,5,Dusk,Light Rain,LOW
14.79,1,Night,Light Rain,CRITICAL
8.26,13,Night,Light Rain,LOW
14.61,14,Dusk,Clear,LOW
0.63,7,Morning,Clear,HIGH
10.59,22,Night,Clear,LOW
6.41,23,Morning,Clear,MEDIUM
9.7,12,Dusk,Heavy Rain,LOW
2.9,0,Dusk,Light Rain,HIGH
11.13,8,Afternoon,Clear,LOW
14.72,22,Night,Heavy Rain,LOW
7.07,25,Night,Heavy Rain,MEDIUM
8.54,4,Morning,Light Rain,LOW
4.47,19,Dusk,Clear,HIGH
13.86,17,Morning,Heavy Rain,LOW
5.99,3,Dusk,Light Rain,MEDIUM
14.91,18,Afternoon,Light Rain,LOW
0.15,9,Afternoon,Light Rain,HIGH
11.02,8,Night,Heavy Rain,LOW
2.28,4,Night,Clear,HIGH
4.52,22,Night,Heavy Rain,CRITICAL
0.27,24,Afternoon,Clear,CRITICAL
9.65,14,Morning,Heavy Rain,LOW
6.2,25,Afternoon,Light Rain,MEDIUM
0.67,11,Afternoon,Light Rain,CRITICAL
14.81,9,Dusk,Clear,LOW
10.56,10,Night,Clear,LOW
11.9,9,Afternoon,Clear,LOW
6.31,15,Morning,Light Rain,MEDIUM
2.51,9,Afternoon,Clear,HIGH
9.58,23,Morning,Clear,LOW
7.84,11,Morning,Clear,MEDIUM
13.62,9,Afternoon,Light Rain,LOW
13.09,22,Morning,Heavy Rain,LOW
1.87,7,Dusk,Light Rain,CRITICAL
8.33,1,Afternoon,Clear,LOW
6.92,15,Night,Clear,MEDIUM
10.69,10,Morning,Clear,LOW
14.08,21,Morning,Heavy Rain,LOW
1.57,22,Dusk,Clear,CRITICAL
8.78,18,Dusk,Clear,LOW
5.52,16,Dusk,Clear,MEDIUM
5.42,17,Afternoon,Light Rain,MEDIUM
8.56,11,Dusk,Clear,LOW
12.63,22,Night,Clear,LOW
0.33,12,Morning,Light Rain,CRITICAL
12.89,24,Night,Light Rain,LOW
5.66,13,Night,Heavy Rain,MEDIUM
3.81,22,Morning,Heavy Rain,CRITICAL
14.71,17,Night,Heavy Rain,LOW
5.77,17,Afternoon,Light Rain,MEDIUM
11.95,20,Dusk,Light Rain,LOW
0.51,6,Night,Clear,CRITICAL
4.78,5,Night,Heavy Rain,HIGH
6.73,1,Morning,Light Rain,MEDIUM
8.35,1,Afternoon,Light Rain,LOW
14.29,21,Dusk,Light Rain,LOW
10.19,6,Dusk,Light Rain,LOW
9.18,12,Night,Light Rain,LOW
6.99,2,Afternoon,Heavy Rain,MEDIUM
4.26,22,Afternoon,Heavy Rain,MEDIUM
5.45,25,Afternoon,Light Rain,MEDIUM
8.86,16,Dusk,Heavy Rain,LOW
2.14,16,Afternoon,Clear,CRITICAL
4.92,23,Night,Heavy Rain,HIGH
5.37,15,Dusk,Light Rain,MEDIUM
5.18,8,Dusk,Light Rain,MEDIUM
3.33,10,Afternoon,Light Rain,MEDIUM
10.49,25,Dusk,Clear,MEDIUM
8.5,14,Morning,Heavy Rain,LOW
14.04,19,Afternoon,Light Rain,LOW
9.78,2,Night,Light Rain,LOW
11.95,5,Night,Clear,LOW
12.47,17,Dusk,Clear,LOW
13.34,25,Afternoon,Clear,LOW
6.13,17,Night,Heavy Rain,MEDIUM
8.34,16,Night,Light Rain,LOW
2.72,0,Night,Heavy Rain,HIGH
9.79,19,Night,Clear,LOW
11.02,23,Night,Heavy Rain,LOW
11.11,9,Night,Heavy Rain,LOW
11.84,23,Morning,Light Rain,LOW
2.64,22,Night,Clear,CRITICAL
3.56,9,Afternoon,Heavy Rain,MEDIUM
4.7,24,Dusk,Clear,HIGH
4.57,13,Night,Heavy Rain,HIGH
5.13,8,Night,Light Rain,MEDIUM
8.03,0,Night,Clear,LOW
10.29,2,Morning,Clear,LOW
10.2,6,Night,Light Rain,LOW
10.7,23,Dusk,Light Rain,LOW
3.61,3,Dusk,Clear,HIGH
10.91,25,Dusk,Light Rain,LOW
11.99,25,Afternoon,Clear,LOW
13.79,2,Dusk,Heavy Rain,LOW
1.78,2,Night,Light Rain,HIGH
8.23,8,Dusk,Light Rain,HIGH
12.56,10,Dusk,Clear,LOW
1.78,18,Night,Light Rain,CRITICAL
13.69,22,Dusk,Heavy Rain,LOW
7.89,8,Afternoon,Clear,MEDIUM
8.1,8,Morning,Clear,LOW
6.58,17,Morning,Clear,MEDIUM
13.37,5,Night,Clear,LOW
7.43,18,Night,Clear,MEDIUM
4.3,16,Morning,Clear,MEDIUM
9.53,18,Night,Light Rain,LOW
0.7,20,Morning,Clear,CRITICAL
2.98,14,Night,Heavy Rain,CRITICAL
6.13,15,Morning,Heavy Rain,CRITICAL
3.4,23,Morning,Heavy Rain,CRITICAL
8.7,7,Afternoon,Light Rain,LOW
11.66,15,Dusk,Light Rain,LOW
7.2,6,Night,Light Rain,MEDIUM
2.42,12,Afternoon,Light Rain,CRITICAL
6.42,6,Dusk,Light Rain,MEDIUM
14.61,17,Morning,Heavy Rain,LOW
1.92,14,Dusk,Clear,CRITICAL
10.69,13,Afternoon,Clear,LOW
14.27,22,Night,Clear,LOW
4.27,13,Morning,Heavy Rain,MEDIUM
11.73,12,Night,Clear,LOW
1.41,25,Morning,Clear,CRITICAL
13.29,1,Night,Light Rain,LOW
14.6,23,Afternoon,Heavy Rain,LOW
10.15,17,Dusk,Heavy Rain,LOW
3.27,10,Afternoon,Heavy Rain,MEDIUM
10.46,24,Afternoon,Light Rain,LOW
11.45,11,Afternoon,Heavy Rain,LOW
14.91,3,Night,Light Rain,LOW
3.82,9,Morning,Heavy Rain,MEDIUM
8.2,3,Morning,Heavy Rain,LOW
14.67,0,Dusk,Light Rain,LOW
14.29,0,Afternoon,Clear,LOW
1.74,12,Morning,Heavy Rain,CRITICAL
8.3,23,Morning,Heavy Rain,LOW
6.26,0,Morning,Heavy Rain,LOW
6.47,1,Afternoon,Heavy Rain,MEDIUM
7.66,8,Night,Light Rain,MEDIUM
11.94,7,Morning,Heavy Rain,LOW
7.16,22,Dusk,Clear,MEDIUM
2.87,11,Night,Light Rain,CRITICAL
4.67,5,Dusk,Light Rain,CRITICAL
10.9,22,Afternoon,Heavy Rain,LOW
12.47,4,Night,Light Rain,LOW
7.17,17,Dusk,Light Rain,MEDIUM
0.71,13,Morning,Clear,CRITICAL
8.0,17,Dusk,Clear,LOW
0.31,23,Dusk,Heavy Rain,CRITICAL
12.32,20,Dusk,Clear,LOW
13.02,5,Night,Clear,LOW
4.78,10,Morning,Clear,MEDIUM
2.5,16,Morning,Heavy Rain,CRITICAL
1.83,24,Afternoon,Light Rain,CRITICAL
10.72,6,Afternoon,Heavy Rain,LOW
14.55,8,Night,Light Rain,LOW
14.75,7,Dusk,Heavy Rain,LOW
13.49,3,Morning,Heavy Rain,LOW
13.67,16,Night,Light Rain,LOW
13.34,23,Morning,Heavy Rain,LOW
1.54,12,Morning,Light Rain,CRITICAL
3.33,24,Morning,Clear,CRITICAL
8.4,20,Night,Heavy Rain,LOW
11.78,22,Dusk,Heavy Rain,LOW
0.66,6,Afternoon,Heavy Rain,CRITICAL
